,Min,Max,Mean,Rms,Var,Std,Peak,P2p,CrestFactor,Skew,Kurtosis,FormFactor,PulseIndicator,Max_f,Sum_f,Mean_f,Var_f,Peak_f
28,-19996,32668,5734.874666666667,10619.944563320469,79894435.08562489,8938.368703830967,32668,52664,3.076098919840869,-0.009372166342417785,2.1129143615537154,1.8518180746037465,5.696375579030382,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
29,-14540,28472,6177.648,10398.666911484375,69968938.724096,8364.743793093487,28472,43012,2.738043274427348,-0.2560830163623368,1.9596945388801308,1.6832728105396058,4.608873797924388,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
30,-17312,32767,5992.388666666667,10419.443737967333,72656085.87627156,8523.85393330221,32767,50079,3.1447936016584626,-0.18152445543321535,2.041644330679012,1.73877969496983,5.468103259434774,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
31,-22944,32172,6272.509333333333,10395.962042254676,68731653.44724621,8290.455563311718,32172,55116,3.09466308834488,-0.36673164000329544,2.21965867230584,1.6573848662143098,5.129047768654841,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
32,-19156,29564,6322.250666666667,10460.319082449954,69447421.81449956,8333.511973621899,29564,48720,2.8263000169470636,-0.4063663643970652,2.1986552680392957,1.6545245726495428,4.676182827718736,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
33,-20688,32767,6635.864666666666,10324.812458377472,62567052.426351555,7909.933781413822,32767,53455,3.173616967096881,-0.42169336523188616,2.43371420834678,1.5559106426990834,4.937864414956423,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
34,-12456,25852,6980.650666666666,10268.54676949632,56713569.02729956,7530.841189887061,25852,38308,2.517590909435772,-0.5199382093607422,2.3669019713568087,1.4710013807924383,3.7033797040505108,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
35,-13824,27532,6067.093333333333,10302.197823765568,69325658.48462223,8326.203125352049,27532,41356,2.672439461071885,-0.19165313857089336,1.8266993299864867,1.6980450534960565,4.537922607640781,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
36,-25776,28024,3370.9893333333334,10378.90654073604,96358131.89588623,9816.217799941393,28024,53800,2.7000917572587206,0.24299944988658406,1.7938603556371753,3.0788903536734336,8.313286465457026,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
37,-18548,25572,2786.8906666666667,10330.413319901581,98950679.77204622,9947.395627602544,25572,44120,2.4754091833610805,0.4622541883573449,1.6094931465264959,3.7067881576630137,9.175817446253124,3594697492.056,1590059187754.7202,8833662.154192891,1.4583029909641086e+16,3594697492.056
